name,pos,hand len,hand wid,ht,wt,wingspan
C.J. Wilcox,SG,8.75,9.00,75.5,201.0,81.75
Kendall Williams,PG,8.00,7.75,74.25,183.0,77.5
James Young,SG,9.00,9.50,77.25,213.3,84.0
Patric Young,PF,9.25,9.50,80.5,246.8,85.75
Steven Adams,C,9.50,11.00,82.75,254.5,88.5
Vander Blue,SG,8.50,9.50,75.5,197.4,78.0
Lorenzo Brown,PG,8.25,8.50,76.0,189.2,79.0
Reggie Bullock,SG-SF,8.50,9.00,77.75,199.8,80.75
Trey Burke,PG,8.25,8.75,71.75,187.0,77.5
Kentavious Caldwell-Pope,SG,8.50,9.00,76.5,203.6,80.0
Isaiah Canaan,PG,8.25,9.50,71.0,188.4,76.5
Jackie Carmichael,PF,9.00,10.25,79.5,241.2,85.5
Michael Carter-Williams,PG,7.50,8.50,76.75,184.4,79.25
Will Clyburn,SF-SG,9.25,10.25,77.75,210.4,84.25
Robert Covington,SF-PF,9.00,8.50,78.25,208.6,85.75
Allen Crabbe,SG,8.25,8.50,77.25,197.4,83.25
Seth Curry,SG,8.00,8.25,73.0,179.2,76.0
