Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%▼,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
42,Fred VanVleet,SG,25,TOR,54,54,1928,319,773,0.413,146,374,0.39,173,399,0.434,0.507,168,198,0.848,18,185,203,357,100,17,121,132,952
43,Jerami Grant,PF,25,DEN,71,24,1892,303,634,0.478,98,252,0.389,205,382,0.537,0.555,147,196,0.75,58,190,248,88,50,57,63,154,851
44,Tyler Herro,SG,20,MIA,55,8,1508,270,631,0.428,116,298,0.389,154,333,0.462,0.52,87,100,0.87,16,208,224,121,34,9,87,76,743
45,Malik Beasley,SG,23,TOT,55,14,1209,227,534,0.425,107,276,0.38799999999999996,120,258,0.465,0.525,54,66,0.818,18,130,148,75,40,8,57,77,615
46,Patrick Beverley,PG,31,LAC,51,50,1342,147,341,0.431,80,206,0.38799999999999996,67,135,0.496,0.5479999999999999,31,47,0.66,57,209,266,183,54,25,66,156,405
47,Terence Davis,SG,22,TOR,72,4,1209,199,436,0.456,94,242,0.38799999999999996,105,194,0.541,0.564,51,59,0.8640000000000001,50,187,237,115,39,14,76,124,543
48,Bryn Forbes,SG,26,SAS,63,62,1579,242,581,0.41700000000000004,148,381,0.38799999999999996,94,200,0.47,0.544,75,90,0.833,12,114,126,108,33,0,57,113,707
49,JaMychal Green,PF,29,LAC,63,1,1307,151,352,0.429,92,238,0.387,59,114,0.518,0.56,36,48,0.75,77,311,388,49,29,24,54,174,430
50,Markieff Morris,PF,30,TOT,58,17,1187,203,458,0.44299999999999995,88,228,0.386,115,230,0.5,0.539,66,85,0.7759999999999999,40,178,218,77,31,17,76,133,560
51,Carmelo Anthony,PF,35,POR,58,58,1902,336,782,0.43,87,226,0.385,249,556,0.44799999999999995,0.485,136,161,0.845,71,297,368,85,49,27,100,171,895
52,Alec Burks,SF-SG,28,TOT,66,19,1754,321,768,0.418,116,301,0.385,205,467,0.439,0.493,235,265,0.887,48,234,282,189,62,17,91,128,993
53,Kentavious Caldwell-Pope,SG,26,LAL,69,26,1762,237,507,0.467,92,239,0.385,145,268,0.541,0.5579999999999999,79,102,0.775,38,104,142,111,57,14,62,128,645
54,Dennis Schröder,SG,26,OKC,65,2,1999,453,965,0.469,125,325,0.385,328,640,0.513,0.534,198,236,0.8390000000000001,19,217,236,262,45,14,166,146,1229
55,Gordon Hayward,SF,29,BOS,52,52,1740,350,700,0.5,85,222,0.38299999999999995,265,478,0.5539999999999999,0.561,124,145,0.855,55,293,348,212,38,22,96,96,909
56,Cedi Osman,SF,24,CLE,65,65,1910,266,609,0.43700000000000006,123,321,0.38299999999999995,143,288,0.49700000000000005,0.5379999999999999,63,94,0.67,39,192,231,154,54,16,91,160,718
